,name,description
0,"Stakin
",Trusted crypto rewards
1,"Raise
",Power new businesses with our secure investment opportunities
2,"Bitfolio
",Keep an eye on the crypto world and track your assets
3,"Openfabric
","Lets anyone create, share, and monetize AI services at scale"
4,"PARSIQ
",Blockchain monitoring and workflow automation platform
5,"Bitcoin Exchange Script
",Get a Powerful Bitcoin Trading Platform Clone Script
6,"Trakx
",We offer sophisticated digital asset instruments to institutional investors
7,"Clank
",Explore the biggest crypto transactions across 17+ blockchains
8,"Mushino
",Trade Bitcoin and Ethereum futures with up to 150x leverage
9,"CryptoMood
",Crypto Market Sentiment Analysis Tools
10,"TradeSanta
",A cloud-based software that automates the cryptocurrency trading process
11,"Zab Technologies
",Leverage Blockchain for your Business
12,"Coinpanda
",The most trusted crypto portfolio tracker and tax calculator
13,"Origin Protocol
",The blockchain platform for building decentralized marketplaces
14,"e-Procure
",Blockchain Procurement Platform
15,"Folktale
",Decentralized Storytelling
16,"PaymentX
",Automated cryptocurrency payroll solution for your business
17,"TradePlan.Co
",Google Search for people who trade Crypto/Stock
18,"Dexwallet
",Your first Decentralized Finance wallet
19,"Euphoreum
",P2p brand endorsement platform tying user messaging & blockchain wallets
20,"Stakin
",Trusted crypto rewards
21,"Raise
",Power new businesses with our secure investment opportunities
22,"Bitfolio
",Keep an eye on the crypto world and track your assets
23,"Openfabric
","Lets anyone create, share, and monetize AI services at scale"
24,"PARSIQ
",Blockchain monitoring and workflow automation platform
25,"Bitcoin Exchange Script
",Get a Powerful Bitcoin Trading Platform Clone Script
26,"Trakx
",We offer sophisticated digital asset instruments to institutional investors
27,"Clank
",Explore the biggest crypto transactions across 17+ blockchains
28,"Mushino
",Trade Bitcoin and Ethereum futures with up to 150x leverage
29,"CryptoMood
",Crypto Market Sentiment Analysis Tools
30,"TradeSanta
",A cloud-based software that automates the cryptocurrency trading process
31,"Zab Technologies
",Leverage Blockchain for your Business
32,"Coinpanda
",The most trusted crypto portfolio tracker and tax calculator
33,"Origin Protocol
",The blockchain platform for building decentralized marketplaces
34,"e-Procure
",Blockchain Procurement Platform
35,"Folktale
",Decentralized Storytelling
36,"PaymentX
",Automated cryptocurrency payroll solution for your business
37,"TradePlan.Co
",Google Search for people who trade Crypto/Stock
38,"Dexwallet
",Your first Decentralized Finance wallet
39,"Euphoreum
",P2p brand endorsement platform tying user messaging & blockchain wallets
40,"XanPool
","Crypto Onboarding, Anywhere, Seamlessly"
41,"Monnos
",The All-in-One Account to anyone Sync Crypto Strategies
42,"DataLight
",Visualized cryptomarkets insights based on data and sentiments
43,"Zen Platform
",Cryptocurrency portfolio tracker & management
44,"Barter Trade
",Learning about and trading cryptocurrency all around the globe
45,"Alice Finance
",Deposit your crypto and get 8% of annual interest
46,"HelioWallet
","Ethereum wallet, client-side interface"
47,"CoinFalcon
",Buy Bitcoin and other digital assets with Debit / Credit Card
48,"Cryptoindex.com
",Your easy entry point to cryptocurrency market
49,"Shiftly
",Search the best prices and swap cryptocurrencies instantly
50,"Libertypool Blockchain Index
",Invest in a diversified crypto portfolio in one click
51,"ChainGraph
",A smart contract analytic platform for the Ethereum blockchain network
52,"Roostoo
",Real-Time Crypto Arbitrage & Token Insights
53,"Crypterium
",Whatever you can do with traditional money you can now do with crypto
54,"Smart Studio
",A free no code platform for building blockchain applications
55,"GratiFi
",A debit account with investment-level returns
56,"CoinBlick
","AI-Driven, Beautifully Designed, Personalised Crypto News Aggregator"
57,"TradeMirror
",Social trading for cryptocurrencies
58,"Pulsehyip
",The Cryptocurrency & Blockchain Development Company
59,"Bank of Hodlers
",Banking on the Blockchain
60,"Airbag
",Crypto trading for people without time for crypto trading
61,"CryptoNotify
",Track Bitcoin & Ethereum address and get notified of transactions instantly
62,"Koinly
","Simple, intuitive crypto tracker & tax calculator"
63,"Fliqpay
",Receive payments in Cryptocurrencies
64,"Savvy
",Accept cryptocurrencies in minutes
65,"Betoken
",Smart Blockchain News Engine
66,"X Coin
","Ask for anything, get it delivered within an hour, no delivery fee"
67,"Hashcademy
",Everything you need to learn blockchain programming and application
68,"Yuser
","Your Life, Your Content, Your Rewards"
69,"Steemhunt
",Daily ranking for cool new products
70,"Superorder
",The all-in-one cryptocurrency trading terminal
71,"Coindar
",Cryptocurrency calendar
72,"API Trust Kit
",Easily integrate any public blockchain into your apps services or products
73,"Kepler Finance
",Free Curated Blockchain Industry Data
74,"Ethx.co
",Global cryptocurrency exchange with enterprise blockchain solutions
75,"AIWA
",A wallet and DApp interaction tool for the Aion Network
76,"Smart-Cube
",Deploy node and smart-contract on multiple blockchain
77,"Coindelta
",Digital Assets Exchange
78,"coinfu.io
",Build automated trading strategies with no coding required
79,"Ninja
","A prediction market in your browser, predict tomorrow’s news and win crypto"
